Country
Russia
""
China
""
India
Kazakhstan
""
Saudi Arabia
Iran
Mongolia
Indonesia
""
Pakistan
Turkey
""
Myanmar
Afghanistan
Yemen
Thailand
Turkmenistan
Uzbekistan
Iraq
Japan
Vietnam
Malaysia
Oman
Philippines
Laos
Kyrgyzstan
Syria
""
Cambodia
Bangladesh
Nepal
Tajikistan
North Korea
South Korea
Jordan
United Arab Emirates
Azerbaijan
""
Georgia (country)
""
Sri Lanka
Bhutan
Taiwan
""
Armenia
""
Israel
""
Kuwait
Timor-Leste
Qatar
Lebanon
Cyprus
""
Palestine
""
Brunei
Hong Kong
China
Bahrain
Singapore
Maldives
""
Macau
China
